Season,November,December,January,February,March,April,Total
1968,18,131,218,161,21,47,596
1969,22,58,102,56,38,0,276
1970,56,93,48,21,33,5,256
1971,16,100,33,42,7,5,203
1972,0,69,118,122,70,21,400
1973,4,74,75,25,99,24,301
1974,12,44,25,143,120,108,452
1975,30,14,13,56,52,22,187
1976,16,0,54,37,40,4,151
1977,39,77,140,100,89,88,533
1978,67,55,86,123,68,8,407
1979,43,71,103,124,67,28,436
1980,10,25,117,28,83,25,288
1981,57,43,173,10,208,93,584
1982,74,78,115,126,168,78,639
1983,79,99,9,64,36,35,322
1984,108,39,31,48,133,14,373
1985,88,28,26,153,66,14,375
1986,7,13,53,63,63,3,202
1987,23,94,80,2,18,0,217
1988,70,77,30,67,87,18,349
1989,46,0,57,84,38,0,225
1990,0,42,5,17,217,16,297
1991,17,51,22,103,42,0,235
1992,5,136,131,103,34,13,422
1993,25,37,36,114,10,20,242
1994,86,72,190,12,179,63,602
1995,2,24,99,111,61,30,327
1996,25,156,133,13,6,6,339
1997,43,48,119,214,61,78,563
1998,48,57,78,124,51,67,425
1999,26,7,114,139,39,25,350
2000,32,17,69,111,33,80,342
2001,50,109,31,24,73,32,319
2002,21,150,10,28,26,125,360
2003,30,122,55,92,17,7,323
2004,24,92,118,75,89,36,434
2005,14,78,105,25,165,111,498
2006,14,48,16,136,22,33,269
2007,3,54,140,79,10,5,291
2008,15,112,33,139,82,32,413
2009,20,81,95,50,55,87,388
2010,115,98,28,121,182,23,567
2011,25,0,32,28,92,50,227
2012,42,90,9,8,40,14,203
2013,8,28,13,74,46,38,207
2014,12,50,1,15,11,33,122
2015,20,89,74,24,84,16,307
2016,25,22,232,128,49,50,506
2017,0,0,23,22,111,11,167
2018,22,68,109,211,68,16,494
2019,42,85,18,0,72,30,247
2020,19,30,80,24,46,15,214
2021,6,150,2,13,17,48,236
2022,46,116,204,106,196,4,672
2023,7,21,68,115,194,,309
